,,,,,,,
,,SUB RMENU CODE,CODE DESCRIPTION,,,SRT RMENU CODE,CODE DESCRIPTION
,1,EUAC,Air Conditioning,,1,ERAC,Air Conditioning
,2,EUAL,Alternating Current,,2,ERBO,Body
,3,EUBK,Brakes,,3,ERCD,Consequential Delay (2nd Delay Same Fault)
,4,EUBO,Body,,4,ERCO,Couplers
,5,EUCA,Compressed Air,,5,ERDB,Disc Brakes
,6,EUCD,Consequential Delay (2nd Delay Same Fault),,6,ERDO,Door Problems - Faulty Equipment
,7,EUCH,Chopper Control,,7,ERHV,High Voltage
,8,EUCO,Couplers,,8,ERLT,Lighting System
,9,EUDO,Door Problems - Faulty Equipment,,9,ERLV,Low Voltage
,10,EUECD,ECD / Line Mechanic Related Prob.,,10,ERME,RC&S Maintenance Error - (Human)
,11,EUHV,High Voltage,,11,ERNEA,No Equipment Available
,12,EULT,Lighting System,,12,ERNT,Equipment - No Trouble Found
,13,EULV,Low Voltage,,13,ERO,RC&S Other
,14,EUME,RC&S Maintenance Error - (Human),,14,ERPR,Propulsion System
,15,EUNEA,No Equipment Available,,15,ERRA,Radio
,16,EUNT,Equipment - No Trouble Found,,16,ERTB,Track Brakes
,17,EUO,RC&S Other,,17,ERTC,Train Control - VOBC
,18,EUOE,Rail Cars & Shops Opr. Error,,18,ERTL,Trainline System
,19,EUOPO,OPTO RC&S Non-Train Door Monitoring,,19,ERTR,Trucks
,20,EUPI,Propulsion System,,20,ERVE,Vehicle
,21,EUSC,Speed Control Equipment  ,,21,ERWA,Warning Alarm Systems
,22,EUTL,Trainline System,,22,ERWS,Wind Shield
,23,EUTM,Traction Motors,,23,MRCL,Divisional Clerk Related
,24,EUTR,Trucks,,24,MRD,Door Problems - Passenger Related
,25,EUTRD,TR Cab Doors,,25,MRDD,Door Problems - Debris Related
,26,EUVA,Warning Alarm Systems,,26,MREC,Misc. Engineering & Construction Related Problems
,27,EUVE,Work Vehicle,,27,MRESA,No Operator Immediately Available
,28,EUYRD,Yard/Carhouse Related Problems,,28,MRIE,Injured Employee
,29,MUCL,Divisional Clerk Related,,29,MRLD,Labour Dispute - Subway
,30,MUD,Door Problems - Passenger Related,,30,MRNOA,No Operator Immediately Available - Not E.S.A. Related 
,31,MUDD,Door Problems - Debris Related,,31,MRO,Miscellaneous Other
,32,MUEC,Misc. Engineering & Construction Related Problems,,32,MRPAA,Passenger Assistance Alarm Activated - No Trouble Found
,33,MUESA,No Operator Immediately Available,,33,MRPLA,Fire/Smoke Plan A
,34,MUFM,Force Majeure,,34,MRPLB,Fire/Smoke Plan B
,35,MUGD,Miscellaneous General Delays,,35,MRPLC,Fire/Smoke Plan C
,36,MUI,Injured or ill Customer (On Train) - Transported,,36,MRPR1,Priority One - Train in Contact With Person
,37,MUIE,Injured Employee,,37,MRSAN,Unsanitary Vehicle
,38,MUIR,Injured or ill Customer (On Train) - Medical Aid Refused,,38,MRSTM,Scheduled Track Maintenance
,39,MUIRS,Injured or ill Customer (In Station) - Medical Aid Refused,,39,MRTO,Timeout
,40,MUIS,Injured or ill Customer (In Station) - Transported,,40,MRUI,Injured or ill Customer (On Train) - Transported
,41,MULD,Labour Dispute - Subway,,41,MRUIR,Injured or ill Customer (On Train) - Medical Aid Refused
,42,MUNOA,No Operator Immediately Available - Not E.S.A. Related ,,42,MRWEA,Weather Reports / Related Delays
,43,MUO,Miscellaneous Other,,43,PREL,Escalator/Elevator Incident
,44,MUODC,Overhead Door Contact,,44,PRO,Other
,45,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found,,45,PRS,VCC/RCIU/CCR
,46,MUPLA,Fire/Smoke Plan A,,46,PRSA,Axle Counter Related
,47,MUPLB,Fire/Smoke Plan B,,47,PRSL,Loop Related Failures
,48,MUPLC,Fire/Smoke Plan C,,48,PRSO,Signals Other
,49,MUPR1,Priority One - Train in Contact With Person,,49,PRSP,Signals Power Supply Related
,50,MUSAN,Unsanitary Vehicle,,50,PRST,Station Stairway Incident 
,51,MUSC,Miscellaneous Speed Control,,51,PRSW,Switch Related
,52,MUTD,Training Department Related Delays,,52,PRTST,Signals - Train Stops
,53,MUTO,Misc. Transportation Other - Employee Non-Chargeable,,53,PRW,Rail Defect/Fastenings/Power Rail
,54,MUWEA,Weather Reports / Related Delays,,54,SRAE,Assault / Employee Involved
,55,MUWR,Work Refusal,,55,SRAP,Assault / Patron Involved
,56,PUCSC,Signal Control Problem - Signals,,56,SRBT,Bomb Threat
,57,PUCSS,Central Office Signalling System,,57,SRCOL,Collector Booth Alarm Activated
,58,PUMEL,Escalator/Elevator Incident,,58,SRDP,Disorderly Patron
,59,PUMO,Station Other,,59,SREAS,Emergency Alarm Station Activation
,60,PUMST,Station Stairway Incident ,,60,SRO,Passenger Other
,61,PUOPO,OPTO (COMMS) Train Door Monitoring,,61,SRSA,Sexual Assault
,62,PUSCA,SCADA Related Problems ,,62,SRSP,Suspicious Package
,63,PUSCR,Subway Car Radio Fault ,,63,SRUT,Unauthorized at Track Level
,64,PUSEA,EAS Failure                               ,,64,TRDOE,Doors Open in Error
,65,PUSI,Signals or Related Components Failure ,,65,TRNIP,Operator Not In Position
,66,PUSIS,Signals Track Weather Related,,66,TRNOA,No Operator Immediately Available 
,67,PUSNT,Signal Problem - No Trouble,,67,TRO,Transportation Department - Other
,68,PUSO,S/E/C Department Other,,68,TRSET,Train Controls Improperly Shut Down
,69,PUSRA,Subway Radio System Fault ,,69,TRST,Storm Trains
,70,PUSSW,Track Switch Failure - Signal Related Problem,,70,TRTC,Transit Control Related Problems
,71,PUSTC,Signals - Track Circuit Problems,,,,
,72,PUSTP,Traction Power or Related Components Failure,,,,
,73,PUSTS,Signals - Train Stops,,,,
,74,PUSWZ,Work Zone Problems - Signals,,,,
,75,PUTCD,T & S Contractor Problems,,,,
,76,PUTD,Track Level Debris - Controllable,,,,
,77,PUTDN ,Debris At Track Level - Uncontrollable,,,,
,78,PUTIJ,Insulated Joint Related Problem,,,,
,79,PUTIS,Ice / Snow Related Problems,,,,
,80,PUTNT,T&S Related Problem - NTF,,,,
,81,PUTO,T&S Other,,,,
,82,PUTOE,T & S Operator Related Problems,,,,
,83,PUTR,Rail Related Problem,,,,
,84,PUTS,Structure Related Problem,,,,
,85,PUTSC,Signal Control Problem - Track,,,,
,86,PUTSM,Track Switch Failure - Track Related Problem,,,,
,87,PUTTC,Track Circuit Problems - Re: Defective Bolts/Bonding,,,,
,88,PUTTP,Traction Power Rail Related,,,,
,89,PUTWZ,Work Zone Problems - Track,,,,
,90,SUAE,Assault / Employee Involved,,,,
,91,SUAP,Assault / Patron Involved,,,,
,92,SUBT,Bomb Threat,,,,
,93,SUCOL,Collector Booth Alarm Activated,,,,
,94,SUDP,Disorderly Patron,,,,
,95,SUEAS,Emergency Alarm Station Activation,,,,
,96,SUG,Graffiti / Scratchiti,,,,
,97,SUO,Passenger Other,,,,
,98,SUPOL,Held By Polce - Non-TTC Related,,,,
,99,SUROB,Robbery,,,,
,100,SUSA,Sexual Assault,,,,
,101,SUSP,Suspicious Package,,,,
,102,SUUT,Unauthorized at Track Level,,,,
